CLUSTER NUMBER,CLUSTER ID,PROTEIN CLASS,GENE ID,MAPPED IDS,GENE NAME/GENE SYMBOL/ORTHOLOG,PANTHER FAMILY/SUBFAMILY,PANTHER PROTEIN CLASS,SPECIES
Cluster 1,Cortex 4DPI & 10DPI,chaperone (PC00072),MOUSE|MGI=MGI=104680|UniProtKB=Q64433,Q64433,"10 kDa heat shock protein, mitochondrial;Hspe1;ortholog","10 KDA HEAT SHOCK PROTEIN, MITOCHONDRIAL (PTHR10772:SF0)",chaperonin(PC00073),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,"chromatin/chromatin-binding, or -regulatory protein (PC00077)",MOUSE|MGI=MGI=95893|UniProtKB=P10922,P10922,Histone H1.0;H1-0;ortholog,HISTONE H1.0 (PTHR11467:SF102),histone(PC00118),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,cytoskeletal protein (PC00085),MOUSE|MGI=MGI=98930|UniProtKB=Q62468,Q62468,Villin-1;Vil1;ortholog,VILLIN-1 (PTHR11977:SF35),non-motor actin binding protein(PC00165),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=2385084|UniProtKB=Q8VC30,Q8VC30,Triokinase/FMN cyclase;Tkfc;ortholog,TRIOKINASE/FMN CYCLASE (PTHR28629:SF4),cyclase(PC00079),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=1095401|UniProtKB=P52760,P52760,2-iminobutanoate/2-iminopropanoate deaminase;Rida;ortholog,2-IMINOBUTANOATE/2-IMINOPROPANOATE DEAMINASE (PTHR11803:SF53),deaminase(PC00088),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=1914195|UniProtKB=Q8K2B3,Q8K2B3,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;Sdha;ortholog","SUCCINATE DEHYDROGENASE [UBIQUINONE] FLAVOPROTEIN SUBUNIT, MITOCHONDRIAL (PTHR11632:SF51)",dehydrogenase(PC00092),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=98266|UniProtKB=Q64442,Q64442,Sorbitol dehydrogenase;Sord;ortholog,SORBITOL DEHYDROGENASE (PTHR43161:SF9),dehydrogenase(PC00092),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=87880|UniProtKB=Q99KI0,Q99KI0,"Aconitate hydratase, mitochondrial;Aco2;ortholog","ACONITATE HYDRATASE, MITOCHONDRIAL (PTHR43160:SF3)",hydratase(PC00120),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=96413|UniProtKB=O88844,O88844,Isocitrate dehydrogenase [NADP] cytoplasmic;Idh1;ortholog,"ISOCITRATE DEHYDROGENASE [NADP], MITOCHONDRIAL (PTHR11822:SF21)",dehydrogenase(PC00092),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=1929955|UniProtKB=Q9JII6,Q9JII6,Aldo-keto reductase family 1 member A1;Akr1a1;ortholog,ALDO-KETO REDUCTASE FAMILY 1 MEMBER A1 (PTHR11732:SF421),reductase(PC00198),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=95492|UniProtKB=Q9QXD6,Q9QXD6,"Fructose-1,6-bisphosphatase 1;Fbp1;ortholog","FRUCTOSE-1,6-BISPHOSPHATASE 1 (PTHR11556:SF11)",carbohydrate phosphatase(PC00066),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=1095417|UniProtKB=P13745,P13745,Glutathione S-transferase A1;Gsta1;ortholog,GLUTATHIONE S-TRANSFERASE-RELATED (PTHR11571:SF233),transferase(PC00220),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=87867|UniProtKB=P45952,P45952,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial;Acadm;ortholog","MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL (PTHR48083:SF2)",dehydrogenase(PC00092),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=1340024|UniProtKB=Q8R0Y6,Q8R0Y6,Cytosolic 10-formyltetrahydrofolate dehydrogenase;Aldh1l1;ortholog,CYTOSOLIC 10-FORMYLTETRAHYDROFOLATE DEHYDROGENASE (PTHR11699:SF120),dehydrogenase(PC00092),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=1098623|UniProtKB=Q8BWT1,Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial;Acaa2;ortholog","3-KETOACYL-COA THIOLASE, MITOCHONDRIAL (PTHR18919:SF107)",acyltransferase(PC00042),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=95393|UniProtKB=P17182,P17182,Alpha-enolase;Eno1;ortholog,ALPHA-ENOLASE (PTHR11902:SF12),lyase(PC00144),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=88527|UniProtKB=P47199,P47199,Quinone oxidoreductase;Cryz;ortholog,QUINONE OXIDOREDUCTASE (PTHR44154:SF1),oxidoreductase(PC00176),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=1306824|UniProtKB=Q9Z2I8,Q9Z2I8,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial;Suclg2;ortholog","SUCCINATE--COA LIGASE [GDP-FORMING] SUBUNIT BETA, MITOCHONDRIAL (PTHR11815:SF10)",ligase(PC00142),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=106098|UniProtKB=Q9DCW4,Q9DCW4,Electron transfer flavoprotein subunit beta;Etfb;ortholog,ELECTRON TRANSFER FLAVOPROTEIN SUBUNIT BETA (PTHR21294:SF8),oxidoreductase(PC00176),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=88090|UniProtKB=P16460,P16460,Argininosuccinate synthase;Ass1;ortholog,ARGININOSUCCINATE SYNTHASE (PTHR11587:SF2),ligase(PC00142),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=96414|UniProtKB=P54071,P54071,"Isocitrate dehydrogenase [NADP], mitochondrial;Idh2;ortholog","ISOCITRATE DEHYDROGENASE [NADP], MITOCHONDRIAL (PTHR11822:SF21)",dehydrogenase(PC00092),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=95753|UniProtKB=P26443,P26443,"Glutamate dehydrogenase 1, mitochondrial;Glud1;ortholog","GLUTAMATE DEHYDROGENASE 1, MITOCHONDRIAL (PTHR11606:SF13)",dehydrogenase(PC00092),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=2443883|UniProtKB=Q8CHT0,Q8CHT0,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial;Aldh4a1;ortholog","DELTA-1-PYRROLINE-5-CARBOXYLATE DEHYDROGENASE, MITOCHONDRIAL (PTHR14516:SF3)",dehydrogenase(PC00092),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=1859821|UniProtKB=P99029,P99029,"Peroxiredoxin-5, mitochondrial;Prdx5;ortholog","PEROXIREDOXIN-5, MITOCHONDRIAL (PTHR10430:SF16)",oxidoreductase(PC00176),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=88271|UniProtKB=P24270,P24270,Catalase;Cat;ortholog,CATALASE (PTHR11465:SF9),peroxidase(PC00180),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=88284|UniProtKB=P48758,P48758,Carbonyl reductase [NADPH] 1;Cbr1;ortholog,CARBONYL REDUCTASE [NADPH] 1 (PTHR43963:SF2),reductase(PC00198),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=95792|UniProtKB=P05202,P05202,"Aspartate aminotransferase, mitochondrial;Got2;ortholog","ASPARTATE AMINOTRANSFERASE, MITOCHONDRIAL (PTHR11879:SF22)",transaminase(PC00216),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=87995|UniProtKB=Q91Y97,Q91Y97,Fructose-bisphosphate aldolase B;Aldob;ortholog,FRUCTOSE-BISPHOSPHATE ALDOLASE B (PTHR11627:SF2),aldolase(PC00044),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=1915077|UniProtKB=Q9EQ20,Q9EQ20,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial;Aldh6a1;ortholog","METHYLMALONATE-SEMIALDEHYDE DEHYDROGENASE [ACYLATING], MITOCHONDRIAL (PTHR43866:SF3)",dehydrogenase(PC00092),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=87870|UniProtKB=Q8QZT1,Q8QZT1,"Acetyl-CoA acetyltransferase, mitochondrial;Acat1;ortholog","ACETYL-COA ACETYLTRANSFERASE, MITOCHONDRIAL (PTHR18919:SF156)",acyltransferase(PC00042),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=1861622|UniProtKB=Q9JLJ2,Q9JLJ2,4-trimethylaminobutyraldehyde dehydrogenase;Aldh9a1;ortholog,4-TRIMETHYLAMINOBUTYRALDEHYDE DEHYDROGENASE (PTHR11699:SF228),dehydrogenase(PC00092),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=2385289|UniProtKB=Q8K0L3,Q8K0L3,"Acyl-coenzyme A synthetase ACSM2, mitochondrial;Acsm2;ortholog","ACYL-COENZYME A SYNTHETASE ACSM2B, MITOCHONDRIAL (PTHR43605:SF3)",ligase(PC00142),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,metabolite interconversion enzyme (PC00262),MOUSE|MGI=MGI=107460|UniProtKB=P56391,P56391,Cytochrome c oxidase subunit 6B1;Cox6b1;ortholog,CYTOCHROME C OXIDASE SUBUNIT 6B1 (PTHR11387:SF16),oxidase(PC00175),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,protein modifying enzyme (PC00260),MOUSE|MGI=MGI=1341799|UniProtKB=Q62433,Q62433,Protein NDRG1;Ndrg1;ortholog,PROTEIN NDRG1 (PTHR11034:SF18),serine protease(PC00203),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,protein modifying enzyme (PC00260),MOUSE|MGI=MGI=105112|UniProtKB=Q91X72,Q91X72,Hemopexin;Hpx;ortholog,HEMOPEXIN (PTHR10201:SF136),metalloprotease(PC00153),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,protein modifying enzyme (PC00260),MOUSE|MGI=MGI=96211|UniProtKB=Q61646,Q61646,Haptoglobin;Hp;ortholog,HAPTOGLOBIN-RELATED PROTEIN (PTHR24255:SF27),serine protease(PC00203),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,protein-binding activity modulator (PC00095),MOUSE|MGI=MGI=87854|UniProtKB=Q61838,Q61838,Pregnancy zone protein;Pzp;ortholog,PREGNANCY ZONE PROTEIN (PTHR11412:SF116),protease inhibitor(PC00191),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,protein-binding activity modulator (PC00095),MOUSE|MGI=MGI=891970|UniProtKB=P22599,P22599,Alpha-1-antitrypsin 1-2;Serpina1b;ortholog,ALPHA-1-ANTITRYPSIN (PTHR11461:SF165),protease inhibitor(PC00191),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,transfer/carrier protein (PC00219),MOUSE|MGI=MGI=87991|UniProtKB=P07724,P07724,Albumin;Alb;ortholog,ALBUMIN (PTHR11385:SF15),transfer/carrier protein(PC00219),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,transfer/carrier protein (PC00219),MOUSE|MGI=MGI=94865|UniProtKB=P31786,P31786,Acyl-CoA-binding protein;Dbi;ortholog,ACYL-COA-BINDING PROTEIN (PTHR23310:SF54),transfer/carrier protein(PC00219),Mus musculus
